val	LUT_val
C3S	ECMWF / C3S
CNES	CNES
CNSA - CNES	CNES
Copernicus Climate Change Service (C3S)	ECMWF / C3S
CPOM	CPOM
EC	EC
ECMWF on behalf of C3S	ECMWF / C3S
ECMWF: European Centre for Medium-range Weather Forecast within the Copernicus Climate Change Service (C3S)	ECMWF / C3S
ESA	ESA
ESA - European Space Agency	ESA
ESA (CCI Programme)	ESA
ESA (DWD)	ESA / DWD
ESA and the Glacier_cci Consortium, Distribution: NSIDC (LPDAAC), generation: none (science community), no dedicated funding. There is actually no real ownership for the produced datasets and thus also no responsibility. Those having provided parts of the dataset own their data, but the provided global product is a merged one from many owners.	ESA
ESA: European Space Agency	ESA
EUMETSAT	EUMETSAT
EUMETSAT (CM SAF)	EUMETSAT / CM-SAF
EUMETSAT Satellite Application Facility on Ocean and Sea Ice / Meteo-France	EUMETSAT / OSI-SAF / Meteo-France
European Commission	EC
European Space Agency	ESA
European Space Agency (ESA)	ESA
ISRO - CNES	CNES
JAXA	JAXA
Jet Propulsion Laboratory	NASA
Jet Propulsion Laboratory (NASA/JPL)	NASA
JMA	JMA
JPL	NASA
Koninklijk Nederlands Meteorologisch Instituut (KNMI)	KNMI
Met Office/University of Leicester	UK Met Office / Univ Leicester
NASA	NASA
NASA - CNES	CNES
NASA - NOAA - EUMETSAT - CNES	CNES
NASA (National Aeronautics and Space Administration)	NASA
NASA Langley Research Center	NASA
NASA Langley Research Center SAGE II Team	NASA
NASA MODIS Adaptive Processing System (MODAPS) http://modaps.nascom.nasa.gov/services/ List of all products: https://modis.gsfc.nasa.gov/data/dataprod/	NASA
NCEI, NOAA	NOAA / NCEI
NOAA	NOAA
NOAA CDR Program	NOAA
NOAA NCEI	NOAA / NCEI
NOAA, NCEI	NOAA / NCEI
NOAA/NCEI	NOAA / NCEI
NOAA/NESDIS/NCEI	NOAA / NCEI / NESDIS
Norwegian Meteorological Institute	Norwegian Meteorological Institute
Satellite Oceanographic Consultants, GlobWave	ESA / SatOC
Science and Technology Facilities Council (STFC) RAL Space	STFC / RAL
U. S. Geological Survey	USGS
U.S. Geological Survey	USGS
U.S. Geological Survey (USGS)	USGS
